condition,epoch,q_mean,G_actual_mean,G_neutral_mean,Delta_G_mean,Delta_G_median,Delta_G_std,count,pct_gt_0,pct_lt_0
A,40,-0.12124452744451063,0.0009784966593596935,0.00020507536672515796,0.0007734212926345355,-1.4590852970286505e-05,0.012020222167408709,332,33.433734939759034,66.56626506024097
B,40,-0.27913662835644243,0.2654588203634551,0.1818311842162869,0.08362763614716817,-0.001140307304012822,0.9302008236313519,332,19.879518072289155,80.12048192771084
C,40,-0.2916812649360147,0.2507743521949305,0.4237789168718729,-0.17300456467694236,-0.0027764924889197573,1.414198963329777,332,17.771084337349397,82.2289156626506
D,40,-0.4366547661897984,13.973507152302115,14.765003432937883,-0.791496280635767,-0.07859420776367188,3.1705138124405887,332,40.06024096385542,59.93975903614458
