condition,epoch,image_id,true_label,assigned_label,raw_norm,q_actual,q_neutral,G_actual,G_neutral,Delta_G,p_assigned_actual,p_assigned_neutral,loss_actual,loss_neutral,target_logit_actual,target_logit_neutral,cosine_sim
A,40,243,0,0,20.058399200439453,-0.21994173526763916,0.0,3.7548451814473083e-07,6.222843694558833e-06,-5.847359176414102e-06,1.0,0.9999996423721313,-0.0,3.576278118089249e-07,28.309206008911133,26.18345832824707,0.5055959820747375
A,40,24,0,0,19.826364517211914,-0.25659236311912537,0.0,1.1881942555191927e-05,0.00013148129801265895,-0.00011959935545746703,0.9999995231628418,0.9999938011169434,4.768370445162873e-07,6.198863957251888e-06,28.067474365234375,25.69056510925293,0.9996305108070374
A,40,214,0,0,22.387981414794922,0.148023322224617,0.0,6.39346762909554e-05,1.0635590115271043e-05,5.329908617568435e-05,0.9999971389770508,0.9999995231628418,2.861018856492592e-06,4.768370445162873e-07,26.505294799804688,28.352060317993164,0.9973205327987671
A,40,167,0,0,21.21041488647461,-0.037977129220962524,0.0,6.471500910265604e-06,1.1157778317283373e-05,-4.686277407017769e-06,0.9999996423721313,0.9999994039535522,3.576278118089249e-07,5.960462772236497e-07,25.564950942993164,25.190114974975586,0.9964560270309448
A,40,289,1,1,22.224193572998047,0.12215249240398407,0.0,2.3130462523113238e-06,3.9993241784941347e-07,1.9131138344619103e-06,0.9999998807907104,1.0,1.1920928244535389e-07,-0.0,25.781291961669922,27.20526695251465,0.7181692123413086
A,40,304,1,1,24.016876220703125,0.40531253814697266,0.0,0.0005398635403253138,2.9405946406768635e-06,0.0005369229456846369,0.9999707937240601,0.9999998807907104,2.9205850296420977e-05,1.1920928244535389e-07,21.910198211669922,27.120759963989258,0.9999956488609314
A,40,302,1,1,18.3494873046875,-0.4898698925971985,0.0,6.844725248811301e-07,4.634451397578232e-05,-4.566004145090119e-05,1.0,0.9999979734420776,-0.0,2.0265558760002023e-06,28.632335662841797,24.74775505065918,0.7184697389602661
A,40,276,1,1,20.99809455871582,-0.07151380926370621,0.0,1.6245701772277243e-05,2.8973496227990836e-05,-1.2727794455713592e-05,0.9999994039535522,0.999998927116394,5.960462772236497e-07,1.0728830375228426e-06,24.879911422729492,24.2186336517334,0.9950356483459473
A,40,382,2,2,20.86187744140625,-0.09302974492311478,0.0,1.805173269531224e-05,3.963198105338961e-05,-2.158024835807737e-05,0.9999991655349731,0.9999980926513672,8.344646857949556e-07,1.9073468138230965e-06,25.552072525024414,24.678525924682617,0.9981107115745544
A,40,605,2,2,23.16602897644043,0.27091845870018005,0.0,0.00015924964100122452,6.067612957849633e-06,0.00015318202804337488,0.9999916553497314,0.9999997615814209,8.34461570775602e-06,2.3841855067985307e-07,23.12877655029297,26.3218936920166,0.9958804249763489
A,40,595,2,2,22.83506202697754,0.21864114701747894,0.0,0.00024014449445530772,2.130565553670749e-05,0.00021883883891860023,0.9999872446060181,0.999998927116394,1.2755313036905136e-05,1.0728830375228426e-06,23.730642318725586,26.248903274536133,0.996189534664154
A,40,517,2,2,20.096426010131836,-0.21393528580665588,0.0,5.464050445880275e-06,3.6351437302073464e-05,-3.088738685619319e-05,0.9999997615814209,0.9999982118606567,2.3841855067985307e-07,1.7881377516459906e-06,26.029537200927734,24.173524856567383,0.9995579719543457
A,40,762,3,3,23.463274002075195,0.31786927580833435,0.0,0.004547491669654846,0.0001698578125797212,0.004377633857075125,0.9997358918190002,0.9999912977218628,0.0002641328901518136,8.702239938429557e-06,20.522903442382812,23.91877555847168,0.9971680641174316
