image_id,epoch,cg_A,cg_B,cg_C,cg_D,CG_C_minus_D,CG_A_minus_B,cumulative_interaction
10003,10,423.28992462158203,434.02621841430664,416.4508056640625,422.82683181762695,-6.376026153564453,-10.73629379272461,4.360267639160156
10003,20,671.2299070358276,765.3231830596924,732.8158931732178,735.885368347168,-3.0694751739501953,-94.09327602386475,91.02380084991455
10003,30,672.7615381404757,1017.4989700317383,876.3202075064182,1016.8299560546875,-140.50974854826927,-344.73743189126253,204.22768334299326
10003,40,679.6768559962511,1253.3279647827148,938.2984916716814,1273.8353061676025,-335.53681449592113,-573.6511087864637,238.1142942905426
10009,10,435.18099784851074,439.8132724761963,430.6706428527832,415.67519187927246,14.995450973510742,-4.632274627685547,19.62772560119629
10009,20,673.4632533192635,729.6263451576233,725.2257843017578,730.1780529022217,-4.952268600463867,-56.16309183835983,51.210823237895966
10009,30,684.962700907141,766.8272579908371,799.196547858417,906.0349245071411,-106.83837664872408,-81.86455708369613,-24.973819565027952
10009,40,698.4060373026878,823.3285477980971,847.8674079999328,944.7170085012913,-96.84960050135851,-124.92251049540937,28.07290999405086
10010,10,414.8244113922119,427.83520126342773,429.8726921081543,415.03652572631836,14.836166381835938,-13.01078987121582,27.846956253051758
10010,20,655.6557461768389,753.918134689331,721.2852382659912,731.5100517272949,-10.224813461303711,-98.26238851249218,88.03757505118847
10010,30,656.8007610910572,996.0702133178711,786.2487922608852,1003.869044303894,-217.6202520430088,-339.2694522268139,121.64920018380508
10010,40,658.7417944339104,1143.2261568307877,817.1042759418488,1103.1046817302704,-286.00040578842163,-484.48436239687726,198.48395660845563
10017,10,402.45699310302734,411.9699821472168,400.84460830688477,411.7547035217285,-10.91009521484375,-9.512989044189453,-1.3971061706542969
10017,20,571.287783563137,707.6520462036133,704.1922931671143,717.2195262908936,-13.027233123779297,-136.36426264047623,123.33702951669693
10017,30,578.8051147740334,872.5132896900177,803.5942388977855,984.5100498199463,-180.91581092216074,-293.7081749159843,112.79236399382353
10017,40,582.2095386572182,982.3675963878632,810.6491650696844,1248.535047531128,-437.88588246144354,-400.15805773064494,-37.7278247307986
10025,10,415.49781799316406,402.59153747558594,403.7889633178711,428.67191314697266,-24.882949829101562,12.906280517578125,-37.78923034667969
10025,20,659.8029098510742,702.6510276794434,696.0678844451904,748.9048690795898,-52.836984634399414,-42.84811782836914,-9.988866806030273
10025,30,669.1174826892093,947.1981143951416,842.6253629922867,1009.9729499816895,-167.34758698940277,-278.0806317059323,110.73304471652955
10025,40,674.6915732752532,1177.068504333496,858.9493143074214,1257.6789283752441,-398.7296140678227,-502.3769310582429,103.64731699042022
10030,10,438.81995582580566,411.77597427368164,434.44350814819336,434.40930938720703,0.034198760986328125,27.043981552124023,-27.009782791137695
10030,20,642.1789211034775,729.6862335205078,754.579496383667,766.8384132385254,-12.258916854858398,-87.50731241703033,75.24839556217194
10030,30,652.0898048626259,838.5932291150093,1031.2512378692627,1064.5040760040283,-33.252838134765625,-186.5034242523834,153.2505861176178
10030,40,652.6499484162778,910.6124206781387,1249.8422870635986,1352.4316730499268,-102.58938598632812,-257.96247226186097,155.37308627553284
10039,10,418.77474784851074,405.9446716308594,411.4025344848633,414.68636322021484,-3.2838287353515625,12.830076217651367,-16.11390495300293
10039,20,639.9778889473528,712.1505317687988,690.7080450057983,750.2513751983643,-59.54333019256592,-72.17264282144606,12.629312628880143
10039,30,650.9961763593601,957.4252653121948,767.783308878541,998.3436424732208,-230.56033359467983,-306.4290889528347,75.86875535815489
10039,40,651.5992237198516,1076.9485154151917,783.4463345399126,1168.162121772766,-384.7157872328535,-425.34929169534007,40.6335044624866
10041,10,416.21850967407227,406.90977478027344,404.6079559326172,382.9682807922363,21.63967514038086,9.308734893798828,12.330940246582031
10041,20,645.2121615409851,733.0118675231934,696.8649730682373,697.2348537445068,-0.36988067626953125,-87.79970598220825,87.42982530593872
10041,30,649.6487507545389,844.9998275712132,793.7932553291321,952.632999420166,-158.83974409103394,-195.35107681667432,36.511332725640386
10041,40,650.8213631715626,859.0131223872304,837.9118437767029,1137.7249374389648,-299.81309366226196,-208.19175921566784,-91.62133444659412
10043,10,433.3594207763672,428.5043487548828,413.89875984191895,399.04491996765137,14.853839874267578,4.855072021484375,9.998767852783203
10043,20,670.8479105867445,765.4945449829102,732.1882476806641,728.7896499633789,3.3985977172851562,-94.64663439616561,98.04523211345077
10043,30,687.2207351435209,1005.1642737388611,779.3104404583573,999.7270393371582,-220.41659887880087,-317.9435385953402,97.52693971653935
10043,40,687.4384086820319,1106.8170393556356,781.766231149435,1252.786828994751,-471.02059784531593,-419.37863067360377,-51.64196717171217
10044,10,415.7386531829834,410.61914253234863,433.7539310455322,394.462797164917,39.291133880615234,5.119510650634766,34.17162322998047
10044,20,631.2623114585876,681.7161636352539,706.7990188598633,689.3024158477783,17.49660301208496,-50.45385217666626,67.95045518875122
10044,30,676.5147397518158,828.7633821964264,833.3106832504272,885.2308034896851,-51.92012023925781,-152.2486424446106,100.32852220535278
10044,40,710.4236360825598,887.1203688383102,883.8019308298826,1063.0753368139267,-179.27340598404408,-176.69673275575042,-2.5766732282936573
10052,10,400.829776763916,442.27721214294434,426.4105052947998,425.47298431396484,0.9375209808349609,-41.44743537902832,42.38495635986328
10052,20,617.1367130260915,738.3101768493652,732.036699295044,745.0087261199951,-12.972026824951172,-121.17346382327378,108.2014369983226
10052,30,617.652173676237,817.9088849127293,927.4864926338196,1011.8614025115967,-84.3749098777771,-200.25671123649227,115.88180135871517
10052,40,619.1725610815338,827.6689644418657,1042.2713462114334,1242.6506748199463,-200.37932860851288,-208.4964033603319,8.117074751819018
10055,10,456.2801513671875,440.4378089904785,421.7412757873535,433.55370712280273,-11.812431335449219,15.842342376708984,-27.654773712158203
10055,20,760.8254489898682,738.826208114624,702.0432872772217,740.1526050567627,-38.109317779541016,21.99924087524414,-60.108558654785156
10055,30,796.9824213627726,1017.1172351837158,851.499328404665,1008.4806823730469,-156.98135396838188,-220.13481382094324,63.153459852561355
10055,40,822.4121341053396,1268.8694438934326,985.9361781775951,1268.1311855316162,-282.1950073540211,-446.45730978809297,164.2623024340719
10063,10,432.3850326538086,421.2304458618164,390.4372901916504,397.2572441101074,-6.819953918457031,11.154586791992188,-17.97454071044922
10063,20,658.8307973891497,736.4233474731445,681.1457595825195,688.9264717102051,-7.780712127685547,-77.59255008399487,69.81183795630932
10063,30,669.957311259117,942.7692623138428,791.2961529493332,900.5843515396118,-109.28819859027863,-272.8119510547258,163.52375246444717
10063,40,670.8274418972869,1019.7419228851795,853.1844373345375,1007.2934764623642,-154.1090391278267,-348.9144809878926,194.8054418600659
10068,10,438.97228240966797,419.1881103515625,389.7911376953125,406.18639755249023,-16.395259857177734,19.78417205810547,-36.1794319152832
10068,20,686.9862027168274,686.9888916015625,676.672513961792,715.6513729095459,-38.978858947753906,-0.002688884735107422,-38.9761700630188
10068,30,714.2347567807883,877.0959300994873,790.2691905498505,938.9101762771606,-148.64098572731018,-162.861173318699,14.220187591388822
10068,40,719.4480290234787,1034.0224137306213,811.9692371040583,1123.7837883234024,-311.81455121934414,-314.5743847071426,2.75983348779846
10072,10,425.5467834472656,441.52660751342773,426.68839263916016,418.8435745239258,7.844818115234375,-15.97982406616211,23.824642181396484
10072,20,716.6196284294128,766.5054340362549,729.3190269470215,735.7313385009766,-6.412311553955078,-49.88580560684204,43.47349405288696
10072,30,717.0953689976595,998.0746438503265,934.0425027906895,999.8390369415283,-65.79653415083885,-280.979274852667,215.18274070182815
10072,40,720.1526610879519,1118.6756417751312,998.1662898361683,1237.2585592269897,-239.09226939082146,-398.52298068717937,159.4307112963579
10087,10,433.10572052001953,421.1124687194824,392.2604103088379,410.0789108276367,-17.818500518798828,11.99325180053711,-29.811752319335938
10087,20,704.3616869449615,732.0093612670898,693.562162399292,741.0722332000732,-47.51007080078125,-27.647674322128296,-19.862396478652954
10087,30,736.6706570088863,950.5932030677795,856.0511467158794,1001.7077236175537,-145.65657690167427,-213.9225460588932,68.26596915721893
10087,40,743.1084843501449,1021.0167418718338,919.1201547682285,1209.7716019153595,-290.65144714713097,-277.90825752168894,-12.743189625442028
10088,10,440.0930976867676,419.73707580566406,407.26028633117676,393.6743679046631,13.585918426513672,20.356021881103516,-6.770103454589844
10088,20,633.8970563523471,745.4394359588623,698.3725261688232,700.8979415893555,-2.5254154205322266,-111.54237960651517,109.01696418598294
10088,30,635.5189766751719,865.0952848643064,704.7573758761864,910.5973424911499,-205.8399666149635,-229.57630818913458,23.736341574171092
10088,40,635.5687031828274,898.0429658591747,730.1193634907249,1037.5741031169891,-307.4547396262642,-262.4742626763473,-44.98047694991692
10089,10,421.7927951812744,426.54279708862305,407.7757740020752,374.6910572052002,33.084716796875,-4.750001907348633,37.83471870422363
10089,20,637.119510769844,729.4251365661621,724.4592361450195,681.275728225708,43.18350791931152,-92.30562579631805,135.48913371562958
10089,30,637.1770886937957,916.1794983148575,905.3585371375084,945.6996784210205,-40.341141283512115,-279.0024096210618,238.6612683375497
10089,40,637.1834647602809,1029.198435306549,985.3420877456665,1195.4083232879639,-210.06623554229736,-392.01497054626816,181.9487350039708
10094,10,440.5492820739746,449.1860008239746,453.2640075683594,427.5340576171875,25.729949951171875,-8.63671875,34.366668701171875
10094,20,626.5107795000076,725.3014373779297,734.842643737793,741.5484008789062,-6.705757141113281,-98.79065787792206,92.08490073680878
