epoch,C_minus_D_mean,C_minus_D_median,C_minus_D_std,C_minus_D_count,A_minus_B_mean,A_minus_B_median,A_minus_B_std,A_minus_B_count,interaction_mean,interaction_median,interaction_std,interaction_count
10,7.0517157779443,7.415232305051411,23.34424000236167,332,-14.67234234802343,-2.0996428013319743,44.45547669764849,332,21.72405812596773,12.922274772972305,47.589407365481776,332
20,-15.096766661214714,1.2766169606851108,51.38986064980068,332,-49.18158655522207,-19.725373382109577,52.17733307717032,332,34.08481989400735,25.044547031132474,71.04839216939028,332
30,-89.25295281696877,-105.58528774103257,70.51372259124251,332,-2.3008199124524933,-0.005040471428998862,11.388385319039259,332,-86.95213290451628,-100.70845536100353,72.21639957660287,332
40,-78.53075157698458,-77.96312837933496,73.40123502633973,332,-1.1648268588096062,-0.0039925564286458605,5.859588040861852,332,-77.36592471817497,-77.89923128260352,74.11106573098219,332
