epoch,matched_count,p_true_C,p_true_D,p_assigned_C,p_assigned_D,head_gradient_norm_C,head_gradient_norm_D
2,4,0.9015991389751434,0.21424167630902954,3.618192143931003e-16,1.5339217178032716e-13,58.19423294067383,52.15633201599121
3,9,0.8929987880918715,0.35577347905685497,8.463680193973532e-14,1.2330707471894995e-13,51.28849877251519,45.38562774658203
4,11,0.9134631102735346,0.15520701493898573,1.5599933651114369e-12,1.2132834515934684e-13,48.39754728837447,41.433758822354406
5,20,0.9430691301822662,0.308560910615779,1.0592039575826334e-12,1.6989086993541383e-13,46.093179321289064,39.54367961883545
6,33,0.9474746891946504,0.4949553905224258,2.007298800833514e-13,9.816876242361557e-12,44.28272235754764,39.651032187721945
7,55,0.9442860776727849,0.5052033511521213,8.835896098927109e-13,4.168363605978126e-13,42.655397865988995,39.08827559731223
8,60,0.9528135826190313,0.5462111390933084,2.1413525097409321e-13,6.32192543120676e-13,40.900727144877116,37.98224271138509
9,67,0.9476626791171173,0.5701221573008433,2.368669789442015e-10,1.413092993634478e-12,39.5582275390625,36.847678625761574
10,83,0.9705148432628218,0.6474458940492477,4.334591958313437e-11,7.059948493248872e-13,38.76896589348115,36.97560519482716
11,81,0.9663535591996746,0.6169803332507591,2.6415961047992928e-11,6.500872290767412e-10,37.84637733742043,36.12775633070204
12,84,0.9534518661953154,0.5723847490047601,4.087035000384881e-11,2.8940396438724677e-10,36.79316952115013,35.01270214716593
13,77,0.968324800590416,0.6712746299117233,7.152382458395381e-11,5.255969466922159e-11,36.08338918314352,34.94680620168711
14,83,0.9604279442005846,0.6282692999321154,5.971452871633166e-09,1.2273978357653423e-10,35.425928506506494,33.853686734854456
15,80,0.9533812046051026,0.5620374774432548,1.0757516563486943e-07,1.644499888125375e-10,34.60927762985229,33.052549314498904
16,86,0.9469242913778438,0.6483408151200923,7.3676901533731756e-06,2.954141429969241e-08,33.95914168690526,33.04323895033016
17,65,0.967560717692742,0.6751323417434553,1.2065922729488174e-05,4.466279247151473e-09,33.511396965613734,32.277895443256085
18,70,0.9557372237954821,0.6377289861740012,1.5080443165429278e-07,6.4405055795649984e-09,33.05022378649031,32.072347559247696
19,58,0.9569607192072375,0.649707522781516,8.851307949845268e-06,4.1586744125380396e-07,32.707087977179164,31.44105763270937
20,52,0.964117278273289,0.6074719730859215,4.838695733241154e-05,1.119060717603342e-05,32.321153567387505,31.255337201631985
21,37,0.928888388582178,0.615665109220867,0.0007923810454559064,2.6950504210813773e-06,31.09520927635399,30.40375719843684
22,23,0.9435716141825137,0.703944317439733,0.00036594674309246324,0.0002511991633139759,31.403375293897547,30.411180579144023
23,20,0.9220949858427048,0.6738189645750026,0.008103425704143158,6.887850254183485e-06,30.733616065979003,30.058626461029053
24,15,0.9156130989392598,0.7629124822638308,0.008610395233574526,1.2535454151208824e-06,30.788772710164388,31.053372065226238
25,8,0.9604413285851479,0.6667292818892747,0.000851115092538481,8.81214157844478e-09,31.823166131973267,31.080981969833374
26,12,0.9422333737214407,0.5771779755984122,0.002505269409264308,0.004512534748061248,31.25932518641154,29.578924655914307
27,6,0.9678463935852051,0.6598940788923452,0.001586552836550614,0.00016485733582390454,31.630142211914062,30.871819178263348
28,6,0.9493064681688944,0.9878528714179993,0.006291419318066486,9.821889436234326e-08,31.37188466389974,32.77388064066569
29,5,0.9701230883598327,0.9498602747917175,0.001163357632769694,1.878607056684839e-08,31.939385604858398,32.43553276062012
30,6,0.9528213739395142,0.7196426503360271,0.02850764088187419,1.4832968814485743e-05,30.65081246693929,31.706273714701336
31,4,0.9742158502340317,0.9385541826486588,0.0014134724497302754,6.838819463185546e-09,32.24070167541504,32.3654842376709
32,5,0.98600172996521,0.7306747496128082,0.005515043454841653,0.001309679101493729,31.138113021850586,29.767184448242187
33,5,0.951707947254181,0.7906606188704245,0.017237419760193627,8.118701369848281e-09,31.22402877807617,32.70856552124023
34,4,0.9822005182504654,0.9981468021869659,0.0034909180876171336,1.354140810346507e-07,31.975040912628174,32.979416847229004
35,5,0.987175714969635,0.7907841549971636,0.0056931790437808,7.82347111539027e-05,31.913515472412108,32.4144172668457
36,3,0.9757125377655029,0.9924863576889038,1.9246859198999522e-10,1.7633835867830363e-12,32.641866048177086,32.78381856282552
37,3,0.9999595483144125,0.9474924206733704,9.441580062195007e-10,4.5372375242492976e-12,32.01038106282552,32.058640797932945
38,5,0.9394617915153504,0.6151615488808602,0.04029887195319247,0.0024671691873236748,30.651441955566405,30.7920166015625
39,4,0.9649666547775269,0.9947095364332199,0.0001232432500418069,3.101940706431266e-11,31.73578119277954,32.7815957069397
40,4,0.9602074474096298,0.9465345442295074,1.6877886362084557e-05,1.011471630375251e-08,31.90365171432495,32.39056873321533
