condition,epoch,raw_norm_mean,raw_norm_median,adaface_quality_mean,adaface_quality_median,p_assigned_mean,p_assigned_median,difficulty_mean,difficulty_median,per_sample_loss_mean,per_sample_loss_median,head_gradient_norm_mean,head_gradient_norm_median,p_true_mean,p_true_median
A,1,21.891422127873064,20.818151473999023,0.006061975735329799,0.0013996663037687,1.6985713911146792e-12,2.319782049897798e-15,0.9999999999983014,0.9999999999999976,33.66541705120041,33.697303771972656,65.31133346741458,65.41991424560547,,
A,2,21.88321327071592,20.5845890045166,0.00040246464665355986,-0.011240305379033,4.401616574161668e-10,1.5214285519903233e-14,0.9999999995598383,0.9999999999999848,31.631056223490152,31.81654167175293,51.40477775114128,50.693321228027344,,
A,3,22.248946681194994,21.60735321044922,0.010265143296475623,-0.0009803131688386,1.3340451285378258e-06,1.3656521117948186e-13,0.9999986659548714,0.9999999999998634,29.522690258715524,29.62197494506836,46.25236682753965,45.86589813232422,,
A,4,22.37102442270302,21.935903549194336,0.01651338960945954,0.0029942006804049,3.1719589814623776e-05,1.811485965570736e-12,0.9999682804101855,0.9999999999981886,26.959172958121243,27.03687286376953,42.899448190712064,42.53298568725586,,
A,5,22.427151009433242,22.16216278076172,0.028363434285954964,0.0152098536491394,0.0005673082785219098,2.235252434534818e-11,0.9994326917214781,0.9999999999776474,24.50511430211814,24.52408218383789,40.25959991776799,40.134559631347656,,
A,6,22.4397314673734,22.113489151000977,0.046267974352169006,0.0233208276331424,0.001301837168151506,1.7556615883318472e-10,0.9986981628318485,0.999999999824434,22.35949001628367,22.46300506591797,38.04608229259411,37.99491500854492,,
A,7,22.45597808056567,22.246944427490234,0.05569736915560585,0.0363621152937412,0.0061668537129972055,1.620887091213774e-09,0.9938331462870028,0.9999999983791128,20.27135112007272,20.240291595458984,36.21950724290796,36.35123443603516,,
A,8,22.461577080416394,22.250717163085938,0.06291600212091523,0.0401088371872901,0.012694978840621313,1.2605239518848066e-08,0.9873050211593786,0.9999999873947604,18.28280374753679,18.18915367126465,34.50200606779162,34.85756301879883,,
A,9,22.480951055963356,22.342098236083984,0.058659879094163654,0.0449364334344863,0.019636793177561368,9.639015985385413e-08,0.9803632068224386,0.99999990360984,16.454227752442,16.154861450195312,33.02698304081268,33.6182746887207,,
A,10,22.49117639794407,22.38517189025879,0.07309303366875763,0.0650001764297485,0.029538316010688962,4.511438476129115e-07,0.9704616839893111,0.9999995488561524,14.912517090939906,14.611479759216309,31.74112598673407,32.523860931396484,,
