epoch,band,count,mean_grad_C,mean_grad_D,median_grad_C,median_grad_D,mean_diff,median_diff
1,0.8-1.0,1200,64.24027843157451,64.44497819582621,64.67596817016602,64.86652755737305,-0.20469976425170902,-0.020397186279296875
2,0.8-1.0,1624,49.38706354084861,49.03903855009032,48.765249252319336,48.46877670288086,0.3480249907582851,0.2417449951171875
3,0.8-1.0,1875,43.689762823486326,43.347704066975915,43.04975891113281,42.69216537475586,0.3420587565104168,0.45407867431640625
4,0.8-1.0,1885,40.83610413447615,40.47222775122847,40.21150207519531,39.77849578857422,0.36387638324767896,0.3088531494140625
5,0.8-1.0,1904,39.043711918742716,38.65096994007335,38.31507682800293,37.95018196105957,0.392741978669367,0.22669219970703125
6,0.8-1.0,1883,38.017105327409695,37.55899726616469,37.3517951965332,36.80748748779297,0.45810806124500303,0.3561515808105469
7,0.8-1.0,1876,36.85000844398287,36.4198984560936,36.17195129394531,35.703500747680664,0.43010998788927157,0.39337158203125355
8,0.8-1.0,1859,36.09226700822277,35.6064891743365,35.63331985473633,35.08611297607422,0.4857778338862722,0.3678627014160156
9,0.8-1.0,1865,35.136355630705886,34.90418899577041,34.799293518066406,34.42038345336914,0.23216663493547618,0.18883132934570312
10,0.8-1.0,1858,34.07646352995841,34.187344876505975,33.712772369384766,33.773237228393555,-0.11088134654756493,-0.16341018676757812
11,0.8-1.0,1881,33.10950535678407,33.5337561111004,32.85734558105469,33.26224136352539,-0.42425075431633097,-0.4853782653808665
12,0-0.2,1,0.02720607817173,0.0442274436354637,0.02720607817173,0.0442274436354637,-0.0170213654637337,-0.0170213654637337
12,0.8-1.0,1893,32.40375457638732,32.82893995273951,32.26316452026367,32.64454650878906,-0.4251853763521883,-0.38543891906738637
13,0-0.2,3,0.15276319036881128,1.8678506712118785,0.0825456827878952,0.7791890501976013,-1.7150874808430672,-0.7439225092530252
13,0.4-0.6,1,12.899465560913086,13.42494297027588,12.899465560913086,13.42494297027588,-0.5254774093627947,-0.5254774093627947
13,0.8-1.0,1912,31.408878054080148,32.14442797086229,31.412013053894043,31.935028076171875,-0.7355499167821398,-0.7966241836547887
14,0-0.2,2,1.3703038692474365,0.7518381178379059,1.3703038692474365,0.7518381178379059,0.6184657514095308,0.6184657514095308
14,0.8-1.0,1908,30.794060751077264,31.500842384322386,30.660295486450195,31.433183670043945,-0.7067816332451202,-0.6041841506958008
15,0-0.2,1,0.533545732498169,1.1796199083328247,0.533545732498169,1.1796199083328247,-0.6460741758346558,-0.6460741758346558
15,0.2-0.4,1,9.275398254394531,6.958603858947754,9.275398254394531,6.958603858947754,2.3167943954467773,2.3167943954467773
15,0.4-0.6,1,13.350934982299805,16.345643997192383,13.350934982299805,16.345643997192383,-2.994709014892578,-2.994709014892578
15,0.8-1.0,1922,30.07893356994089,30.904706061816736,30.054591178894043,30.828575134277344,-0.825772491875846,-0.7007341384887695
16,0-0.2,3,3.0566666995485625,2.614525000254313,4.073431491851807,3.104419946670532,0.44214169929424935,0.7522525787353516
16,0.2-0.4,1,10.840885162353516,6.9785003662109375,10.840885162353516,6.9785003662109375,3.862384796142578,3.862384796142578
16,0.4-0.6,1,10.343095779418944,11.859073638916016,10.343095779418944,11.859073638916016,-1.515977859497072,-1.515977859497072
16,0.6-0.8,2,19.93934726715088,18.418078422546387,19.93934726715088,18.418078422546387,1.5212688446044913,1.5212688446044913
16,0.8-1.0,1915,29.39151807092811,30.406351134297743,29.371871948242188,30.2740478515625,-1.0148330633696314,-0.9507408142089844
17,0-0.2,5,1.8893478859215975,2.3984016120433806,1.2933355569839478,1.3339829444885254,-0.5090537261217832,-0.11404561996459961
17,0.2-0.4,1,5.437648773193359,11.0619478225708,5.437648773193359,11.0619478225708,-5.624299049377441,-5.624299049377441
17,0.8-1.0,1888,28.91420147782665,29.896402038760105,28.870675086975098,29.87334632873535,-0.9822005609334525,-0.8843402862548793
18,0-0.2,10,1.1201725501567126,2.4573243394494058,0.6711408793926239,2.146626353263855,-1.3371517892926932,-1.3280363455414772
18,0.2-0.4,1,12.39592742919922,5.64450216293335,12.39592742919922,5.64450216293335,6.751425266265871,6.751425266265871
